Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID,gloss_id,aircraft,name,full_name,aircraft_type,hyperlink,Avion_Nombre_Completo
125637,6/6/1944,ETO,USA,9 AF,,B17,,,,,,,1455,FRANCE,ARGENTAN,MARSHALLING YARD,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",1,48.73,-0.02,180.0,12.0,12.0,12.0,,,,,,,,33.0,,,,,,,,,,33.0,,,166294.0,7.0,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,B-17 Flying Fortress
125638,6/6/1944,ETO,USA,9 AF,,B24,,,,,,,41252,FRANCE,ST LO,TACTICAL TARGETS,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,49.12,-1.08,160.0,9.0,9.0,9.0,,,,,,,,24.0,,,,,,,,,,24.0,,,102731.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125639,6/6/1944,ETO,USA,9 AF,,GB24,,,,,,,41252,FRANCE,ST LO,TACTICAL TARGETS,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,49.12,-1.08,160.0,9.0,9.0,9.0,,,,,,,,24.0,,,,,,,,,,24.0,,,205723.0,,,,,,,GB24
125640,6/6/1944,ETO,USA,9 AF,,B24,,,,,,,41252,FRANCE,ST LO,TACTICAL TARGETS,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,49.12,-1.08,160.0,9.0,9.0,9.0,,,,,,,,24.0,,,,,,,,,,24.0,,,205889.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125641,6/6/1944,ETO,USA,9 AF,,B24,,,,,,,41252,FRANCE,ST LO,TACTICAL TARGETS,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,49.12,-1.08,151.0,21.0,21.0,21.0,,,,,,,,63.0,,,,,,,,,,63.0,,,102733.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125642,6/6/1944,ETO,USA,9 AF,,GB24,,,,,,,41252,FRANCE,ST LO,TACTICAL TARGETS,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,49.12,-1.08,151.0,21.0,21.0,21.0,,,,,,,,63.0,,,,,,,,,,63.0,,,205725.0,,,,,,,GB24
125643,6/6/1944,ETO,USA,9 AF,,B24,,,,,,,41252,FRANCE,ST LO,TACTICAL TARGETS,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,49.12,-1.08,151.0,21.0,21.0,21.0,,,,,,,,63.0,,,,,,,,,,63.0,,,205891.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
125644,6/6/1944,ETO,USA,9 AF,,B17,,,,,,,13420,FRANCE,FALAISE,BATTLE APEA,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,48.9,-0.2,150.0,24.0,24.0,24.0,,,,,,,,72.0,,,,,,,,,,72.0,,,102684.0,7.0,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,B-17 Flying Fortress
125645,6/6/1944,ETO,USA,9 AF,,B17,,,,,,,13420,FRANCE,FALAISE,BATTLE APEA,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,48.9,-0.2,150.0,21.0,21.0,21.0,,,,,,,,21.0,,,,,,,,,,21.0,,,102689.0,7.0,B17,FORT,B-17 Flying Fortress,Heavy Bomber,http://boeing.com/history/products/b-17-flying-fortress.page,B-17 Flying Fortress
125646,6/6/1944,ETO,USA,9 AF,,GB17,,,,,,,13420,FRANCE,FALAISE,BATTLE APEA,TACTICAL TARGETS: (UNIDENTIFIED OR NOT LISTED BELOW),1,48.9,-0.2,150.0,24.0,24.0,24.0,,,,,,,,72.0,,,,,,,,,,72.0,,,205685.0,,,,,,,GB17
