wwii_id,master_index_number,msndate,theater,naf,country_flying_mission,tgt_country_code,tgt_country,tgt_location,tgt_type,tgt_id,tgt_industry_code,tgt_industry,source_latitude,source_longitude,latitude,longitude,unit_id,mds,aircraft_name,msn_type,tgt_priority,tgt_priority_explanation,ac_attacking,altitude,altitude_feet,number_of_he,type_of_he,lbs_he,tons_of_he,number_of_ic,type_of_ic,lbs_ic,tons_of_ic,number_of_frag,type_of_frag,lbs_frag,tons_of_frag,total_lbs,total_tons,takeoff_base,takeoff_country,takeoff_latitude,takeoff_longitude,ac_lost,ac_damaged,ac_airborne,ac_dropping,time_over_target,sighting_method_code,sighting_explanation,bda,callsign,rounds_ammo,spares_return_ac,wx_fail_ac,mech_fail_ac,misc_fail_ac,target_comment,mission_comments,source,database_edit_comments,weapon_type,weapon_description
125621,102744.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,B24,B24,,1,PRIMARY TARGET,6.0,,,,,,4.0,,,,,,,,2.0,,6.0,,,,,,,6.0,6.0,,9,,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125622,102748.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,B24,B24,,4,TARGET OF LAST RESORT,,,,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,9,,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125623,102749.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,B24,B24,,4,TARGET OF LAST RESORT,2.0,,,,,,3.0,,,,,,,,,,3.0,,,,,,,2.0,2.0,,9,,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125624,166309.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,ROAD,44333.0,65.0,HIGHWAYS AND VEHICLES,,,,,,B24,B24,,4,TARGET OF LAST RESORT,,,,,,,22.0,,,,,,,,,,22.0,,,,,,,,,,9,,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125625,205763.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,GB24,B24,,1,PRIMARY TARGET,6.0,,,,,,4.0,,,,,,,,2.0,,6.0,,,,,,,6.0,6.0,,9,,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125626,205767.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,GB24,B24,,4,TARGET OF LAST RESORT,,,,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,9,,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125627,205768.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,GB24,B24,,4,TARGET OF LAST RESORT,2.0,,,,,,3.0,,,,,,,,,,3.0,,,,,,,2.0,2.0,,9,,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125628,166310.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,ROAD,44333.0,65.0,HIGHWAYS AND VEHICLES,,,,,,B24,B24,,4,TARGET OF LAST RESORT,3.0,,,,,,9.0,,,,,,,,,,9.0,,,,,,,3.0,3.0,,9,,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125629,205899.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,B24,B24,,1,PRIMARY TARGET,6.0,,,,,,4.0,,,,,,,,2.0,,6.0,,,,,,,6.0,6.0,,9,,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
125630,205903.0,1944-06-06,ETO,12 AF,USA,7.0,FRANCE,UNKNOWN,GP,44333.0,82.0,GUN EMPLACEMENTS,,,,,,B24,B24,,4,TARGET OF LAST RESORT,,,,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,9,,,,,,,,,,,,,Bombardeo Táctico Convencional,Bombardeo de apoyo aéreo cercano de media intensidad sin desglose en los archivos originales.
