Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID
120015,1944-06-02,ETO,,,,B17,,,,,,,5420,FRANCE,BOULOGNE SUR GESSE,,GUN EMPLACEMENTS,1,43.28,0.63,226.0,16.0,16.0,16.0,,,,,,,,48.0,,,,,,,,,,48.0,,,102279.0
120016,1944-06-02,ETO,,,,GB17,,,,,,,5420,FRANCE,BOULOGNE SUR GESSE,,GUN EMPLACEMENTS,1,43.28,0.63,226.0,16.0,16.0,16.0,,,,,,,,48.0,,,,,,,,,,48.0,,,205051.0
120017,1944-06-02,ETO,,,,B17,,,,,,,5420,FRANCE,BOULOGNE SUR GESSE,,GUN EMPLACEMENTS,1,43.28,0.63,226.0,16.0,16.0,16.0,,,,,,,,48.0,,,,,,,,,,48.0,,,205138.0
120018,1944-06-02,ETO,,,,B17,,,,,,,91,FRANCE,ACHERES,,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",1,48.37,2.57,225.0,13.0,13.0,13.0,,,,,,,,39.0,,,,,,,,,,39.0,,,166138.0
120019,1944-06-02,ETO,,,,B17,,,,,,,47378,FRANCE,WIMEREUX,,V - WEAPON LAUNCHING SITES,1,50.77,1.62,225.0,6.0,6.0,6.0,,,,,,,,18.0,,,,,,,,,,18.0,,,102319.0
120020,1944-06-02,ETO,,,,GB17,,,,,,,47378,FRANCE,WIMEREUX,,V - WEAPON LAUNCHING SITES,1,50.77,1.62,225.0,6.0,6.0,6.0,,,,,,,,18.0,,,,,,,,,,18.0,,,205101.0
120021,1944-06-02,ETO,,,,B17,,,,,,,47378,FRANCE,WIMEREUX,,V - WEAPON LAUNCHING SITES,1,50.77,1.62,225.0,6.0,6.0,6.0,,,,,,,,18.0,,,,,,,,,,18.0,,,205176.0
120022,1944-06-02,ETO,,,,B17,,,,,,,9378,FRANCE,CONCHES,AIRDROME,AIR FIELDS AND AIRDROMES,2,48.97,0.95,221.0,12.0,12.0,12.0,,,,,,,,36.0,,,,,,,,,,36.0,,,102254.0
120023,1944-06-02,ETO,,,,B17,,,,,,,9378,FRANCE,CONCHES,AIRDROME,AIR FIELDS AND AIRDROMES,2,48.97,0.95,221.0,12.0,12.0,12.0,,,,,,,,36.0,,,,,,,,,,36.0,,,205043.0
120024,1944-06-02,ETO,,,,B17,,,,,,,9378,FRANCE,CONCHES,AIRDROME,AIR FIELDS AND AIRDROMES,2,48.97,0.95,221.0,12.0,12.0,12.0,,,,,,,,36.0,,,,,,,,,,36.0,,,205189.0
120025,1944-06-02,ETO,,,,GB24,,,,,,,42066,FRANCE,STELLA PLAGE,,V - WEAPON LAUNCHING SITES,1,50.5,2.33,221.0,23.0,23.0,23.0,,,,,,,,92.0,,,,,,,,,,92.0,,,205096.0
120026,1944-06-02,ETO,,,,B24,,,,,,,42066,FRANCE,STELLA PLAGE,,V - WEAPON LAUNCHING SITES,1,50.5,2.33,221.0,23.0,23.0,23.0,,,,,,,,92.0,,,,,,,,,,92.0,,,102314.0
120027,1944-06-02,ETO,,,,B24,,,,,,,42066,FRANCE,STELLA PLAGE,,V - WEAPON LAUNCHING SITES,1,50.5,2.33,221.0,23.0,23.0,23.0,,,,,,,,92.0,,,,,,,,,,92.0,,,205171.0
