Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Time Over Target,Bomb Damage Assessment,Source ID,gloss_id,aircraft,name,full_name,aircraft_type,hyperlink,Avion_Nombre_Completo
174454,7/23/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,1,49.57,3.63,,5.0,5.0,5.0,,,,,,,,10.0,,,,,,,,,,10.0,,,209118.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
174455,7/23/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,1,49.57,3.63,,3.0,3.0,3.0,,,,,,,,6.0,,,,,,,,,,6.0,,,209120.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
174456,7/23/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,4,49.57,3.63,,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,,2.0,,,209123.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
174457,7/23/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,1,49.57,3.63,,5.0,5.0,5.0,,,,,,,,10.0,,,,,,,,,,10.0,,,209135.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
174458,7/23/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,1,49.57,3.63,,3.0,3.0,3.0,,,,,,,,6.0,,,,,,,,,,6.0,,,209137.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
174459,7/23/1944,ETO,,,,B24,,,,,,,23654,FRANCE,LAON,,AIR FIELDS AND AIRDROMES,4,49.57,3.63,,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,,2.0,,,209140.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
174460,7/23/1944,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,24577,FRANCE,LES CATELLIERS,TOWN AREA,CITIES TOWNS AND URBAN AREAS,,,,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,295561.0,27.0,HVY,Lancaster,Avro Lancaster,Heavy Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=234,Avro Lancaster
174461,7/23/1944,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,24577,FRANCE,LES CATELLIERS,TOWN AREA,CITIES TOWNS AND URBAN AREAS,,,,,,,,,,,,,,,205.0,,,,,,,,,,205.0,,,295562.0,27.0,HVY,Lancaster,Avro Lancaster,Heavy Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=234,Avro Lancaster
174462,7/23/1944,ETO,GREAT BRITAIN,RAF,,HVY,,,,,,,24577,FRANCE,LES CATELLIERS,TOWN AREA,CITIES TOWNS AND URBAN AREAS,,,,,54.0,54.0,54.0,,,,,,,,4.0,,,,,,,,,,4.0,,,295563.0,27.0,HVY,Lancaster,Avro Lancaster,Heavy Bomber / Reconnaissance,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=234,Avro Lancaster
174541,7/24/1944,ETO,USA,15 AF,,B24,,,,,,,24584,FRANCE,LES CHANOINES,AIRDROME,AIR FIELDS AND AIRDROMES,1,,,213.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,60.0,,60.0,,,105937.0,8.0,B24,Liberator,B-24 Liberator,Heavy Bomber,http://militaryfactory.com/aircraft/detail.asp?aircraft_id=80,B-24 Liberator
